"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2013","2013","IDX","Index","0","Units","2015_100","2015=100",94.369586,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.583272,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102.21702,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2017","2017","IDX","Index","0","Units","2015_100","2015=100",104.745181,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2018","2018","IDX","Index","0","Units","2015_100","2015=100",107.058668,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2019","2019","IDX","Index","0","Units","2015_100","2015=100",109.151587,,
"AUS","Australia","T_KSER","Total capital services","2015Y","Index","2020","2020","IDX","Index","0","Units","2015_100","2015=100",111.18595,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1985","1985","IDX","Index","0","Units","2015_100","2015=100",2.857374,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1986","1986","IDX","Index","0","Units","2015_100","2015=100",3.484587,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1987","1987","IDX","Index","0","Units","2015_100","2015=100",4.174736,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1988","1988","IDX","Index","0","Units","2015_100","2015=100",4.948836,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1989","1989","IDX","Index","0","Units","2015_100","2015=100",5.850809,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1990","1990","IDX","Index","0","Units","2015_100","2015=100",6.603719,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1991","1991","IDX","Index","0","Units","2015_100","2015=100",7.392676,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1992","1992","IDX","Index","0","Units","2015_100","2015=100",8.484448,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1993","1993","IDX","Index","0","Units","2015_100","2015=100",9.651658,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1994","1994","IDX","Index","0","Units","2015_100","2015=100",10.901662,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1995","1995","IDX","Index","0","Units","2015_100","2015=100",12.31355,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1996","1996","IDX","Index","0","Units","2015_100","2015=100",13.958465,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1997","1997","IDX","Index","0","Units","2015_100","2015=100",16.300235,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1998","1998","IDX","Index","0","Units","2015_100","2015=100",18.774553,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","1999","1999","IDX","Index","0","Units","2015_100","2015=100",21.770666,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2000","2000","IDX","Index","0","Units","2015_100","2015=100",25.518431,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2001","2001","IDX","Index","0","Units","2015_100","2015=100",29.201955,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2002","2002","IDX","Index","0","Units","2015_100","2015=100",33.67735,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2003","2003","IDX","Index","0","Units","2015_100","2015=100",38.191234,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2004","2004","IDX","Index","0","Units","2015_100","2015=100",42.854538,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2005","2005","IDX","Index","0","Units","2015_100","2015=100",47.835724,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2006","2006","IDX","Index","0","Units","2015_100","2015=100",52.753865,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2007","2007","IDX","Index","0","Units","2015_100","2015=100",58.030047,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2008","2008","IDX","Index","0","Units","2015_100","2015=100",63.115046,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2009","2009","IDX","Index","0","Units","2015_100","2015=100",67.917011,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2010","2010","IDX","Index","0","Units","2015_100","2015=100",73.373599,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2011","2011","IDX","Index","0","Units","2015_100","2015=100",79.582366,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2012","2012","IDX","Index","0","Units","2015_100","2015=100",85.653278,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2013","2013","IDX","Index","0","Units","2015_100","2015=100",90.265678,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2014","2014","IDX","Index","0","Units","2015_100","2015=100",95.333652,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2016","2016","IDX","Index","0","Units","2015_100","2015=100",105.177647,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2017","2017","IDX","Index","0","Units","2015_100","2015=100",111.040169,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2018","2018","IDX","Index","0","Units","2015_100","2015=100",115.351227,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2019","2019","IDX","Index","0","Units","2015_100","2015=100",120.220336,,
"AUS","Australia","T_ICT","ICT capital","2015Y","Index","2020","2020","IDX","Index","0","Units","2015_100","2015=100",125.193482,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1985","1985","IDX","Index","0","Units","2015_100","2015=100",40.441646,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1986","1986","IDX","Index","0","Units","2015_100","2015=100",41.574202,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1987","1987","IDX","Index","0","Units","2015_100","2015=100",42.810711,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1988","1988","IDX","Index","0","Units","2015_100","2015=100",44.238224,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1989","1989","IDX","Index","0","Units","2015_100","2015=100",45.626781,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1990","1990","IDX","Index","0","Units","2015_100","2015=100",46.581994,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1991","1991","IDX","Index","0","Units","2015_100","2015=100",47.262668,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1992","1992","IDX","Index","0","Units","2015_100","2015=100",47.935569,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1993","1993","IDX","Index","0","Units","2015_100","2015=100",48.643727,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1994","1994","IDX","Index","0","Units","2015_100","2015=100",49.716415,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1995","1995","IDX","Index","0","Units","2015_100","2015=100",50.903606,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1996","1996","IDX","Index","0","Units","2015_100","2015=100",52.202677,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1997","1997","IDX","Index","0","Units","2015_100","2015=100",53.449787,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1998","1998","IDX","Index","0","Units","2015_100","2015=100",54.635439,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","1999","1999","IDX","Index","0","Units","2015_100","2015=100",55.807452,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2000","2000","IDX","Index","0","Units","2015_100","2015=100",56.722424,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2001","2001","IDX","Index","0","Units","2015_100","2015=100",57.708819,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2002","2002","IDX","Index","0","Units","2015_100","2015=100",59.069474,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2003","2003","IDX","Index","0","Units","2015_100","2015=100",60.677514,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2004","2004","IDX","Index","0","Units","2015_100","2015=100",62.749208,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2005","2005","IDX","Index","0","Units","2015_100","2015=100",65.463236,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2006","2006","IDX","Index","0","Units","2015_100","2015=100",68.336673,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2007","2007","IDX","Index","0","Units","2015_100","2015=100",71.931359,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2008","2008","IDX","Index","0","Units","2015_100","2015=100",75.466489,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2009","2009","IDX","Index","0","Units","2015_100","2015=100",78.94496,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2010","2010","IDX","Index","0","Units","2015_100","2015=100",82.439046,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2011","2011","IDX","Index","0","Units","2015_100","2015=100",86.838133,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2012","2012","IDX","Index","0","Units","2015_100","2015=100",91.192673,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2013","2013","IDX","Index","0","Units","2015_100","2015=100",94.910141,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.872636,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2016","2016","IDX","Index","0","Units","2015_100","2015=100",101.850991,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2017","2017","IDX","Index","0","Units","2015_100","2015=100",103.9779,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2018","2018","IDX","Index","0","Units","2015_100","2015=100",106.061443,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2019","2019","IDX","Index","0","Units","2015_100","2015=100",107.844489,,
"AUS","Australia","T_NICT","Non-ICT capital","2015Y","Index","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.557607,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1985","1985","IDX","Index","0","Units","2015_100","2015=100",82.588117,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1986","1986","IDX","Index","0","Units","2015_100","2015=100",81.970963,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1987","1987","IDX","Index","0","Units","2015_100","2015=100",83.273128,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1988","1988","IDX","Index","0","Units","2015_100","2015=100",82.685776,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1989","1989","IDX","Index","0","Units","2015_100","2015=100",82.43678,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1990","1990","IDX","Index","0","Units","2015_100","2015=100",82.228419,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1991","1991","IDX","Index","0","Units","2015_100","2015=100",82.805019,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1992","1992","IDX","Index","0","Units","2015_100","2015=100",84.688281,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1993","1993","IDX","Index","0","Units","2015_100","2015=100",84.99872,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1994","1994","IDX","Index","0","Units","2015_100","2015=100",85.086919,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1995","1995","IDX","Index","0","Units","2015_100","2015=100",86.794844,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1996","1996","IDX","Index","0","Units","2015_100","2015=100",88.800917,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1997","1997","IDX","Index","0","Units","2015_100","2015=100",90.86586,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1998","1998","IDX","Index","0","Units","2015_100","2015=100",92.986336,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","1999","1999","IDX","Index","0","Units","2015_100","2015=100",93.349819,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2000","2000","IDX","Index","0","Units","2015_100","2015=100",93.441733,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2001","2001","IDX","Index","0","Units","2015_100","2015=100",95.681026,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2002","2002","IDX","Index","0","Units","2015_100","2015=100",96.20454,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2003","2003","IDX","Index","0","Units","2015_100","2015=100",97.574999,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2004","2004","IDX","Index","0","Units","2015_100","2015=100",96.787988,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2005","2005","IDX","Index","0","Units","2015_100","2015=100",96.246344,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2006","2006","IDX","Index","0","Units","2015_100","2015=100",96.146673,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2007","2007","IDX","Index","0","Units","2015_100","2015=100",96.283649,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2008","2008","IDX","Index","0","Units","2015_100","2015=100",97.658785,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2009","2009","IDX","Index","0","Units","2015_100","2015=100",96.220612,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2010","2010","IDX","Index","0","Units","2015_100","2015=100",96.590798,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2011","2011","IDX","Index","0","Units","2015_100","2015=100",96.820747,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2012","2012","IDX","Index","0","Units","2015_100","2015=100",97.616194,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2013","2013","IDX","Index","0","Units","2015_100","2015=100",98.273515,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2014","2014","IDX","Index","0","Units","2015_100","2015=100",98.214619,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2016","2016","IDX","Index","0","Units","2015_100","2015=100",99.822956,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2017","2017","IDX","Index","0","Units","2015_100","2015=100",100.72501,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2018","2018","IDX","Index","0","Units","2015_100","2015=100",100.660664,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2019","2019","IDX","Index","0","Units","2015_100","2015=100",101.001951,,
"AUS","Australia","T_MFP","Multifactor productivity","2015Y","Index","2020","2020","IDX","Index","0","Units","2015_100","2015=100",101.629783,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1985","1985","IDX","Index","0","Units","2015_100","2015=100",41.747708,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1986","1986","IDX","Index","0","Units","2015_100","2015=100",42.891881,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1987","1987","IDX","Index","0","Units","2015_100","2015=100",43.635991,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1988","1988","IDX","Index","0","Units","2015_100","2015=100",44.171139,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1989","1989","IDX","Index","0","Units","2015_100","2015=100",45.005235,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1990","1990","IDX","Index","0","Units","2015_100","2015=100",47.450462,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1991","1991","IDX","Index","0","Units","2015_100","2015=100",49.660617,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1992","1992","IDX","Index","0","Units","2015_100","2015=100",50.784039,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1993","1993","IDX","Index","0","Units","2015_100","2015=100",50.544226,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1994","1994","IDX","Index","0","Units","2015_100","2015=100",50.658693,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1995","1995","IDX","Index","0","Units","2015_100","2015=100",52.29092,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1996","1996","IDX","Index","0","Units","2015_100","2015=100",54.331999,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1997","1997","IDX","Index","0","Units","2015_100","2015=100",56.340506,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1998","1998","IDX","Index","0","Units","2015_100","2015=100",57.928926,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","1999","1999","IDX","Index","0","Units","2015_100","2015=100",58.922618,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2000","2000","IDX","Index","0","Units","2015_100","2015=100",61.092684,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2001","2001","IDX","Index","0","Units","2015_100","2015=100",63.326883,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2002","2002","IDX","Index","0","Units","2015_100","2015=100",65.427661,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2003","2003","IDX","Index","0","Units","2015_100","2015=100",67.400048,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2004","2004","IDX","Index","0","Units","2015_100","2015=100",68.589921,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2005","2005","IDX","Index","0","Units","2015_100","2015=100",70.980591,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2006","2006","IDX","Index","0","Units","2015_100","2015=100",72.675681,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2007","2007","IDX","Index","0","Units","2015_100","2015=100",75.406631,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2008","2008","IDX","Index","0","Units","2015_100","2015=100",80.767349,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2009","2009","IDX","Index","0","Units","2015_100","2015=100",82.428961,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2010","2010","IDX","Index","0","Units","2015_100","2015=100",85.833587,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2011","2011","IDX","Index","0","Units","2015_100","2015=100",88.462669,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2012","2012","IDX","Index","0","Units","2015_100","2015=100",93.016559,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2013","2013","IDX","Index","0","Units","2015_100","2015=100",96.166809,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.799103,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2016","2016","IDX","Index","0","Units","2015_100","2015=100",99.674992,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2017","2017","IDX","Index","0","Units","2015_100","2015=100",100.438289,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2018","2018","IDX","Index","0","Units","2015_100","2015=100",100.513436,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2019","2019","IDX","Index","0","Units","2015_100","2015=100",103.738668,,
"AUS","Australia","T_KSERHRS","Capital deepening","2015Y","Index","2020","2020","IDX","Index","0","Units","2015_100","2015=100",105.213336,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1985","1985","IDX","Index","0","Units","2015_100","2015=100",4.416198,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1986","1986","IDX","Index","0","Units","2015_100","2015=100",5.276842,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1987","1987","IDX","Index","0","Units","2015_100","2015=100",6.13871,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1988","1988","IDX","Index","0","Units","2015_100","2015=100",7.025079,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1989","1989","IDX","Index","0","Units","2015_100","2015=100",8.081916,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1990","1990","IDX","Index","0","Units","2015_100","2015=100",9.280272,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1991","1991","IDX","Index","0","Units","2015_100","2015=100",10.560219,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1992","1992","IDX","Index","0","Units","2015_100","2015=100",12.020849,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1993","1993","IDX","Index","0","Units","2015_100","2015=100",13.231364,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1994","1994","IDX","Index","0","Units","2015_100","2015=100",14.470122,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1995","1995","IDX","Index","0","Units","2015_100","2015=100",16.2243,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1996","1996","IDX","Index","0","Units","2015_100","2015=100",18.32166,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1997","1997","IDX","Index","0","Units","2015_100","2015=100",21.17935,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1998","1998","IDX","Index","0","Units","2015_100","2015=100",24.029797,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","1999","1999","IDX","Index","0","Units","2015_100","2015=100",27.148846,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2000","2000","IDX","Index","0","Units","2015_100","2015=100",31.579877,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2001","2001","IDX","Index","0","Units","2015_100","2015=100",35.982241,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2002","2002","IDX","Index","0","Units","2015_100","2015=100",40.935397,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2003","2003","IDX","Index","0","Units","2015_100","2015=100",45.666956,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2004","2004","IDX","Index","0","Units","2015_100","2015=100",49.671651,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2005","2005","IDX","Index","0","Units","2015_100","2015=100",54.279906,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2006","2006","IDX","Index","0","Units","2015_100","2015=100",58.126356,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2007","2007","IDX","Index","0","Units","2015_100","2015=100",62.550204,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2008","2008","IDX","Index","0","Units","2015_100","2015=100",68.992458,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2009","2009","IDX","Index","0","Units","2015_100","2015=100",72.159475,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2010","2010","IDX","Index","0","Units","2015_100","2015=100",77.381175,,
"AUS","Australia","T_ICTHRS","ICT capital deepening","2015Y","Index","2011","2011","IDX","Index","0","Units","2015_100","2015=100",81.860212,,
